Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [strain]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1379344 1	gene expression on day 7 in CTL-treated tumor with control Rat IgG	tumor, day7, CTL-treated, IgG (pooled, n=3)	CTL-d7-IgG	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	tumor (B16F10)	C57BL/6	EFO	EFO_0004472	P-GSE57304-2	ArrayExpress	P-GSE57304-3	ArrayExpress	GSM1379344 extract 1	total RNA	P-GSE57304-4	ArrayExpress	GSM1379344 LE 1	Cy3	P-GSE57304-5	ArrayExpress	GSM1379344	A-MEXP-724	ArrayExpress	array assay	P-GSE57304-6	ArrayExpress	GSM1379344_N_mix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.raw.1.zip	P-GSE57304-1	ArrayExpress	GSM1379344_sample_table.txt norm	GSM1379344_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.processed.1.zip
GSM1379343 1	gene expression on day 7 in CTL-treated tumor with anti-IFNg mAb	tumor, day7, CTL-treated, aIFNg (pooled, n=3)	CTL-d7-aIFNg	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	tumor (B16F10)	C57BL/6	EFO	EFO_0004472	P-GSE57304-2	ArrayExpress	P-GSE57304-3	ArrayExpress	GSM1379343 extract 1	total RNA	P-GSE57304-4	ArrayExpress	GSM1379343 LE 1	Cy3	P-GSE57304-5	ArrayExpress	GSM1379343	A-MEXP-724	ArrayExpress	array assay	P-GSE57304-6	ArrayExpress	GSM1379343_M_mix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.raw.1.zip	P-GSE57304-1	ArrayExpress	GSM1379343_sample_table.txt norm	GSM1379343_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.processed.1.zip
GSM1379342 1	gene expression on day 7 in untreated control tumor	tumor, day7, untreated (pooled, n=4)	Untreated-d7	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	tumor (B16F10)	C57BL/6	EFO	EFO_0004472	P-GSE57304-2	ArrayExpress	P-GSE57304-3	ArrayExpress	GSM1379342 extract 1	total RNA	P-GSE57304-4	ArrayExpress	GSM1379342 LE 1	Cy3	P-GSE57304-5	ArrayExpress	GSM1379342	A-MEXP-724	ArrayExpress	array assay	P-GSE57304-6	ArrayExpress	GSM1379342_L_mix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.raw.1.zip	P-GSE57304-1	ArrayExpress	GSM1379342_sample_table.txt norm	GSM1379342_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.processed.1.zip
GSM1379341 1	gene expression on day 7 in CTL-treated tumor	tumor, day7, CTL-treated (pooled, n=4)	CTL-d7	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	tumor (B16F10)	C57BL/6	EFO	EFO_0004472	P-GSE57304-2	ArrayExpress	P-GSE57304-3	ArrayExpress	GSM1379341 extract 1	total RNA	P-GSE57304-4	ArrayExpress	GSM1379341 LE 1	Cy3	P-GSE57304-5	ArrayExpress	GSM1379341	A-MEXP-724	ArrayExpress	array assay	P-GSE57304-6	ArrayExpress	GSM1379341_K_mix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.raw.1.zip	P-GSE57304-1	ArrayExpress	GSM1379341_sample_table.txt norm	GSM1379341_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.processed.1.zip
GSM1379340 1	gene expression on day 5 in CTL-treated tumor with control Rat IgG	tumor, day5, CTL-treated, IgG (pooled, n=3)	CTL-d5-IgG	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	tumor (B16F10)	C57BL/6	EFO	EFO_0004472	P-GSE57304-2	ArrayExpress	P-GSE57304-3	ArrayExpress	GSM1379340 extract 1	total RNA	P-GSE57304-4	ArrayExpress	GSM1379340 LE 1	Cy3	P-GSE57304-5	ArrayExpress	GSM1379340	A-MEXP-724	ArrayExpress	array assay	P-GSE57304-6	ArrayExpress	GSM1379340_J_mix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.raw.1.zip	P-GSE57304-1	ArrayExpress	GSM1379340_sample_table.txt norm	GSM1379340_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.processed.1.zip
GSM1379339 1	gene expression on day 5 in CTL-treated tumor with anti-IFNg mAb	tumor, day5, CTL-treated, aIFNg (pooled, n=3)	CTL-d5-aIFNg	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	tumor (B16F10)	C57BL/6	EFO	EFO_0004472	P-GSE57304-2	ArrayExpress	P-GSE57304-3	ArrayExpress	GSM1379339 extract 1	total RNA	P-GSE57304-4	ArrayExpress	GSM1379339 LE 1	Cy3	P-GSE57304-5	ArrayExpress	GSM1379339	A-MEXP-724	ArrayExpress	array assay	P-GSE57304-6	ArrayExpress	GSM1379339_I_mix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.raw.1.zip	P-GSE57304-1	ArrayExpress	GSM1379339_sample_table.txt norm	GSM1379339_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.processed.1.zip
GSM1379338 1	gene expression on day 5 in untreated control tumor	tumor, day5, untreated (pooled, n=4)	Untreated-d5	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	tumor (B16F10)	C57BL/6	EFO	EFO_0004472	P-GSE57304-2	ArrayExpress	P-GSE57304-3	ArrayExpress	GSM1379338 extract 1	total RNA	P-GSE57304-4	ArrayExpress	GSM1379338 LE 1	Cy3	P-GSE57304-5	ArrayExpress	GSM1379338	A-MEXP-724	ArrayExpress	array assay	P-GSE57304-6	ArrayExpress	GSM1379338_H_mix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.raw.1.zip	P-GSE57304-1	ArrayExpress	GSM1379338_sample_table.txt norm	GSM1379338_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.processed.1.zip
GSM1379337 1	gene expression on day 5 in CTL-treated tumor	tumor, day5, CTL-treated (pooled, n=4)	CTL-d5	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	tumor (B16F10)	C57BL/6	EFO	EFO_0004472	P-GSE57304-2	ArrayExpress	P-GSE57304-3	ArrayExpress	GSM1379337 extract 1	total RNA	P-GSE57304-4	ArrayExpress	GSM1379337 LE 1	Cy3	P-GSE57304-5	ArrayExpress	GSM1379337	A-MEXP-724	ArrayExpress	array assay	P-GSE57304-6	ArrayExpress	GSM1379337_G_mix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.raw.1.zip	P-GSE57304-1	ArrayExpress	GSM1379337_sample_table.txt norm	GSM1379337_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.processed.1.zip
GSM1379336 1	gene expression on day 3 in CTL-treated tumor with control Rat IgG	tumor, day3, CTL-treated, IgG (pooled, n=3)	CTL-d3-IgG	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	tumor (B16F10)	C57BL/6	EFO	EFO_0004472	P-GSE57304-2	ArrayExpress	P-GSE57304-3	ArrayExpress	GSM1379336 extract 1	total RNA	P-GSE57304-4	ArrayExpress	GSM1379336 LE 1	Cy3	P-GSE57304-5	ArrayExpress	GSM1379336	A-MEXP-724	ArrayExpress	array assay	P-GSE57304-6	ArrayExpress	GSM1379336_F_mix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.raw.1.zip	P-GSE57304-1	ArrayExpress	GSM1379336_sample_table.txt norm	GSM1379336_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.processed.1.zip
GSM1379335 1	gene expression on day 3 in CTL-treated tumor with anti-IFNg mAb	tumor, day3, CTL-treated, aIFNg (pooled, n=3)	CTL-d3-aIFNg	Mus musculus	EFO	http://purl.obolibrary.org/obo/NCBITaxon_10090	tumor (B16F10)	C57BL/6	EFO	EFO_0004472	P-GSE57304-2	ArrayExpress	P-GSE57304-3	ArrayExpress	GSM1379335 extract 1	total RNA	P-GSE57304-4	ArrayExpress	GSM1379335 LE 1	Cy3	P-GSE57304-5	ArrayExpress	GSM1379335	A-MEXP-724	ArrayExpress	array assay	P-GSE57304-6	ArrayExpress	GSM1379335_E_mix.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.raw.1.zip	P-GSE57304-1	ArrayExpress	GSM1379335_sample_table.txt norm	GSM1379335_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-57304/E-GEOD-57304.processed.1.zip
