Reporter Identifier	VALUE
A_51_P100021	-6.3292294
A_51_P100034	2.213543
A_51_P100052	-6.261942
A_51_P100063	-6.279153
A_51_P100084	-2.9250116
A_51_P100099	0.16317844
A_51_P100155	2.440979
A_51_P100174	3.8821745
A_51_P100181	-1.1989832
A_51_P100218	-6.267207
A_51_P100227	2.570693
A_51_P100238	-6.2907667
A_51_P100246	3.0870438
A_51_P100289	2.0112238
A_51_P100298	-3.0137525
A_51_P100309	-6.1995506
A_51_P100327	-1.3803334
A_51_P100347	-5.4846964
A_51_P100379	-3.4208484
A_51_P100428	-6.138207
A_51_P100470	-3.6265821
A_51_P100505	-0.3991995
A_51_P100519	-6.3153954
A_51_P100527	-6.2523685
A_51_P100537	-5.586232
A_51_P100565	0.61625195
A_51_P100573	-0.6916809
A_51_P100624	-6.3131194
A_51_P100625	-4.55555
A_51_P100768	-6.2547626
A_51_P100776	-5.1189675
A_51_P100787	2.8200235
A_51_P100828	3.2396698
A_51_P100852	-4.116237
A_51_P100856	-0.58683777
A_51_P100866	6.5612392
A_51_P100991	-2.4922376
A_51_P100997	-3.3670893
A_51_P101004	-6.320268
A_51_P101006	-0.93780994
A_51_P101022	-6.2516456
A_51_P101034	-6.3183413
A_51_P101065	-6.0053816
A_51_P101075	4.387762
A_51_P101086	-1.2644701
A_51_P101137	2.4541025
A_51_P101146	-6.316992
A_51_P101170	-6.269066
A_51_P101196	4.560794
A_51_P101228	-1.2501707
A_51_P101255	3.2267132
A_51_P101283	-3.9902039
A_51_P101317	0.5014391
A_51_P101347	-5.598755
A_51_P101375	-3.0940275
A_51_P101388	-2.0268955
A_51_P101425	-1.738781
A_51_P101460	-6.336182
A_51_P101474	-3.6962132
A_51_P101506	-1.9451385
A_51_P101545	-4.3025036
A_51_P101573	2.8627176
A_51_P101576	-0.06944084
A_51_P101588	-4.1896877
A_51_P101621	0.8178654
A_51_P101627	-6.255165
A_51_P101635	5.139166
A_51_P101660	-1.1462879
A_51_P101719	-1.2473497
A_51_P101729	-6.2425404
A_51_P101763	-3.8243003
A_51_P101765	0.34031582
A_51_P101777	0.9402056
A_51_P101787	-2.408692
A_51_P101858	-2.691812
A_51_P101879	4.0562954
A_51_P101929	2.9862185
A_51_P101950	-6.3724823
A_51_P101955	2.8793278
A_51_P101975	-3.1737165
A_51_P101985	-6.122775
A_51_P102005	-6.3625917
A_51_P102081	-6.379777
A_51_P102090	-6.276989
A_51_P102096	2.175971
A_51_P102106	-6.188484
A_51_P102122	-6.2814507
A_51_P102174	-2.5374112
A_51_P102180	-6.3412023
A_51_P102235	4.118765
A_51_P102249	-6.2463274
A_51_P102257	-4.3347144
A_51_P102296	-3.4411297
A_51_P102311	-0.9054475
A_51_P102319	-2.7753668
A_51_P102339	0.2634821
A_51_P102355	-2.6082788
A_51_P102393	-6.2620974
A_51_P102421	-5.5142565
A_51_P102438	-6.2587776
A_51_P102459	-4.912175
A_51_P102471	-4.7592573
A_51_P102487	-6.04066
A_51_P102503	1.7990074
A_51_P102507	0.9986057
A_51_P102518	-6.262331
A_51_P102538	-6.3890963
A_51_P102607	-6.2503595
A_51_P102631	0.57706547
A_51_P102652	0.005079269
A_51_P102731	-6.2841825
A_51_P102734	-3.6162863
A_51_P102740	-6.3238344
A_51_P102782	1.5107489
A_51_P102789	1.0932589
A_51_P102809	2.3167877
A_51_P102860	-0.42916775
A_51_P102867	-0.9871607
A_51_P102883	-3.210535
A_51_P102911	0.098511696
A_51_P102943	0.31800556
A_51_P102970	-6.236125
A_51_P102987	-6.1673203
A_51_P103000	3.0285378
A_51_P103007	-6.2759337
A_51_P103054	-6.2561145
A_51_P103069	1.7014322
A_51_P103081	-6.341915
A_51_P103114	-3.2506442
A_51_P103117	-6.225832
A_51_P103133	-4.8590217
A_51_P103144	-6.27524
A_51_P103172	-4.875685
A_51_P103179	-6.359043
A_51_P103209	2.397459
A_51_P103222	-1.9343767
A_51_P103229	0.65150833
A_51_P103237	-1.2193971
A_51_P103254	-4.62011
A_51_P103261	-6.232196
A_51_P103298	-4.7975197
A_51_P103320	-1.6332903
A_51_P103328	-6.2542553
A_51_P103364	-5.8519325
A_51_P103396	-2.4621649
A_51_P103397	0.14204216
A_51_P103406	-2.1521783
A_51_P103435	-6.300257
A_51_P103450	-6.2772484
A_51_P103465	-3.9346867
A_51_P103499	-5.1797605
A_51_P103509	2.2232895
A_51_P103533	-1.0842571
A_51_P103541	-3.562086
A_51_P103560	-6.31783
A_51_P103586	-5.216632
A_51_P103594	-3.6891751
A_51_P103617	-6.27355
A_51_P103650	2.0447206
A_51_P103659	1.1721048
A_51_P103706	-6.2813816
A_51_P103718	3.0559683
A_51_P103745	-3.0612512
A_51_P103757	3.219038
A_51_P103780	2.0291195
A_51_P103819	-6.164618
A_51_P103850	-4.6954856
A_51_P103865	1.0531979
A_51_P103890	-6.2194805
A_51_P103912	-6.0026517
A_51_P103929	1.3799429
A_51_P103945	-6.336791
A_51_P103975	2.818594
A_51_P104006	-0.6792011
A_51_P104012	-0.5038986
A_51_P104077	-5.595709
A_51_P104125	1.2982216
A_51_P104128	7.1074133
A_51_P104162	-3.0197039
A_51_P104172	-6.309329
A_51_P104187	6.616297
A_51_P104197	-6.278928
A_51_P104241	-6.2450414
A_51_P104255	-6.3062944
A_51_P104258	-5.874118
A_51_P104274	-6.269448
A_51_P104290	-4.752971
A_51_P104348	-6.2394066
A_51_P104361	-6.2566338
A_51_P104392	-4.317042
A_51_P104409	-4.1445346
A_51_P104418	-4.0534263
A_51_P104430	-5.6187577
A_51_P104456	4.3257656
A_51_P104478	-5.9620624
A_51_P104487	-5.8902845
A_51_P104527	2.312088
A_51_P104565	-6.2832456
A_51_P104569	-6.283907
A_51_P104596	0.7498245
A_51_P104608	-5.288722
A_51_P104670	4.1869965
A_51_P104681	-5.815749
A_51_P104687	-2.1596231
A_51_P104710	-4.1984677
A_51_P104718	-6.2355843
A_51_P104722	-6.2658424
A_51_P104727	0.8374119
A_51_P104747	3.154707
A_51_P104757	-1.8961272
