Reporter Identifier	VALUE
A_51_P100021	-6.430352
A_51_P100034	2.0562248
A_51_P100052	-5.82633
A_51_P100063	-4.468711
A_51_P100084	-1.3279948
A_51_P100099	0.015272141
A_51_P100155	2.1986818
A_51_P100174	3.6584196
A_51_P100181	-1.4475245
A_51_P100218	-6.530848
A_51_P100227	2.6570892
A_51_P100238	-6.6061697
A_51_P100246	2.5969296
A_51_P100289	2.3217907
A_51_P100298	-3.1263976
A_51_P100309	-6.3651876
A_51_P100327	-2.4482732
A_51_P100347	-5.016098
A_51_P100379	-3.475347
A_51_P100428	-6.5212674
A_51_P100470	-3.6071205
A_51_P100505	-0.13019085
A_51_P100519	-6.480927
A_51_P100527	-6.510299
A_51_P100537	-4.961376
A_51_P100565	0.8423557
A_51_P100573	-0.9342742
A_51_P100624	-6.4282737
A_51_P100625	-4.622037
A_51_P100768	-6.4711657
A_51_P100776	-4.257021
A_51_P100787	2.871337
A_51_P100828	3.0296774
A_51_P100852	-5.594984
A_51_P100856	-0.6008177
A_51_P100866	6.617634
A_51_P100991	-2.201908
A_51_P100997	-2.3420491
A_51_P101004	-6.066185
A_51_P101006	-0.9690056
A_51_P101022	-6.5263395
A_51_P101034	-4.6805067
A_51_P101065	-4.8594494
A_51_P101075	4.6300936
A_51_P101086	-1.2142978
A_51_P101137	2.2949076
A_51_P101146	-5.2335587
A_51_P101170	-3.585606
A_51_P101196	4.365074
A_51_P101228	-1.2506995
A_51_P101255	2.963684
A_51_P101283	-3.3270402
A_51_P101317	0.43668938
A_51_P101347	-6.6053047
A_51_P101375	-3.104052
A_51_P101388	-1.3420768
A_51_P101425	-1.3906207
A_51_P101460	-5.7578106
A_51_P101474	-3.4402175
A_51_P101506	-1.2696018
A_51_P101545	-3.4046044
A_51_P101573	2.8724394
A_51_P101576	-0.5141454
A_51_P101588	-3.1550846
A_51_P101621	1.0795126
A_51_P101627	-6.515744
A_51_P101635	4.968483
A_51_P101660	-1.1760206
A_51_P101719	-0.9699516
A_51_P101729	-6.5121403
A_51_P101763	-4.523937
A_51_P101765	0.058714867
A_51_P101777	0.7529516
A_51_P101787	-1.3650851
A_51_P101858	-2.4644861
A_51_P101879	4.038966
A_51_P101929	3.0656033
A_51_P101950	-5.7304873
A_51_P101955	2.4893122
A_51_P101975	-2.0791006
A_51_P101985	-5.1089473
A_51_P102005	-2.5285645
A_51_P102081	-5.6497326
A_51_P102090	-4.4677215
A_51_P102096	2.2583122
A_51_P102106	-6.4845815
A_51_P102122	-6.1873436
A_51_P102174	-1.8660693
A_51_P102180	-6.6037703
A_51_P102235	4.3689632
A_51_P102249	-5.7571783
A_51_P102257	-3.752058
A_51_P102296	-2.7601051
A_51_P102311	-1.3012743
A_51_P102319	-3.2226381
A_51_P102339	0.005770683
A_51_P102355	-2.4399052
A_51_P102393	-6.515895
A_51_P102421	-4.0576715
A_51_P102438	-6.49765
A_51_P102459	-3.826005
A_51_P102471	-5.089094
A_51_P102487	-4.828352
A_51_P102503	1.5747242
A_51_P102507	0.80734634
A_51_P102518	-5.046194
A_51_P102538	-6.502338
A_51_P102607	-4.7943387
